title,genres,shorts_url
10 Cloverfield Lane,Horror,https://youtube.com/shorts/0hh9sQ7vA_E?si=RBDgnHMlyp-NPHWH
12 Angry Men,Crime,https://youtube.com/shorts/4_q_IA6LeUw?si=6HKKbc_tRdIPTTwY
21 Jump Street,Comedy; Crime,https://youtube.com/shorts/OzAeH3ld0pg?si=MBuDD0hZmNW1O1xx
28 Days Later,Horror,https://youtube.com/shorts/Fq8HFlrULw0?si=MLHHuIFswsdNeIER
28 Weeks Later,Horror,https://youtube.com/shorts/CUT9vzYimLU?si=GMSmNTyrEqSuPHly
300,Action,https://youtube.com/shorts/k03ocvisAbM?si=T7TXxIo62JFVlWER
A Beautiful Mind,Drama,https://youtube.com/shorts/_aUWNB4K6wY?si=tmGC4m66BuOknOit
A Clockwork Orange,Crime,https://youtube.com/shorts/031Fy29u1Ww?si=LrkFrQ5vPeozkGCQ
A Quiet Place,Horror,https://youtube.com/shorts/P2VjzXktbAc?si=Y2hmp9pdSd5diFD7
Alien,Horror,https://youtube.com/shorts/O50w8H9_1qg?si=ogcTBxxo4hHF-3kR
Alien: Covenant,Horror,https://youtube.com/shorts/l9qh3ksbCaQ?si=_XAFa1W3dowF5FxI
Aliens,Horror,https://youtube.com/shorts/Le9ZYfs3IkU?si=wG8OCbHeMKyR-bEF
Alien³,Horror,https://youtube.com/shorts/i7ADCg6d7gM?si=wate-1xOuiMcRSxJ
American Beauty,Drama,https://youtube.com/shorts/mka3rGXs15g?si=REblL64xVTW9sY4t
American History X,Crime; Drama,https://youtube.com/shorts/zRYT9ib-J94?si=DP0p_J5mch14QXUt
American Psycho,Crime; Horror,https://youtube.com/shorts/a0y_pc2g6Iw?si=EKQdBkYyOqTs885z
Amélie,Comedy,https://youtube.com/shorts/llS_OjW8H_k?si=7SzShTkNar-UAv33
Annihilation,Horror,https://youtube.com/shorts/viESEYdHLbc?si=LjkvmWf1ebgJR87n
Ant-Man,Comedy,https://youtube.com/shorts/Q6m7n9MPBM8?si=qo-h6IGHIhujnghA
Avatar,Action; Adventure; Fantasy,https://youtube.com/shorts/bRT4WYsCScg?si=6mg7S62xpvftvpBl
Avengers: Age of Ultron,Action; Adventure,https://youtube.com/shorts/urRg7lxIS5I?si=7fE66JNI2_EL_orz
Avengers: Endgame,Action; Adventure,https://youtube.com/shorts/Iy12ZMAD-Wk?si=Mr26pVpI-IokoMli
Avengers: Infinity War,Action; Adventure,https://youtube.com/shorts/8nlnsF8WhiM?si=Ricf30-v3wpzDoEh
Baby Driver,Crime,https://youtube.com/shorts/XCNFOiVp7NM?si=sAsNaWuSeNcJgHD6
Back to the Future,Adventure; Comedy,https://youtube.com/shorts/j4HG2XT42HM?si=2_k4ZhVvxsMWVV4T
Back to the Future Part II,Comedy,https://youtube.com/shorts/RmGGHanR4nw?si=xv8-46MDrn2EWiOU
Barbie,Comedy; Fantasy,https://youtube.com/shorts/rCvJm8F5L6Q?si=eCPENchst_yc9NAE
Batman Begins,Action; Crime; Drama,https://youtube.com/shorts/XhN5GisjH1Y?si=YYqcthfxzR_lem0j
Bird Box,Horror,https://youtube.com/shorts/DYXOZfgenDQ?si=KZOCisRmVBuAsTqy
Birdman or (The Unexpected Virtue of Ignorance),Comedy,https://youtube.com/shorts/wTjQUFgTkF0?si=gd94y2sYmPJrGnMo
Black Panther,Action; Adventure,https://youtube.com/shorts/hlMrNq1_Sw8?si=APHI5qiOw1uFtQ4c
Blade Runner,Action,https://youtube.com/shorts/davgFoxUmTA?si=rk_Cji9b8Yi3UPMs
Braveheart,Drama,https://youtube.com/shorts/OrDsMLpnuzw?si=BbSoa7j0Y3287-gY
Captain America: Civil War,Action,https://youtube.com/shorts/9h1kAiphrFY?si=NQ-vOV0B-TrP0uR1
Captain America: The First Avenger,Action; Adventure,https://youtube.com/shorts/0ylC1RblwFc?si=c-0WUoKUGnwdd3h9
Captain America: The Winter Soldier,Action; Adventure,https://youtube.com/shorts/iVlVcEjiK-Q?si=eA5hg3MJvHbGQEuB
Catch Me If You Can,Crime; Drama,https://youtube.com/shorts/n6H7Pfp-8rs?si=z-gdgZHAb7jUySm1
City of God,Crime,https://youtube.com/shorts/7jy8NoEJJYU?si=FoIlo5lAFku46psu
Cloverfield,Horror,https://youtube.com/shorts/NdusZmcS8Wg?si=AfmOGnHMvz6A7RfV
Coco,Fantasy,https://youtube.com/shorts/cYgNr5qJTGY?si=iH6P2oCUYfW3_9bw
Constantine,Horror,https://youtube.com/shorts/ZdwhDs6qotw?si=e2zXkuWBXo-Nt1bR
Dead Poets Society,Comedy,https://youtube.com/shorts/ZHrPR5xfMuM?si=s7waqEKoODh_h4-h
Deadpool,Action; Comedy,https://youtube.com/shorts/4DVRhnXVfi8?si=63tNBLj8te0VmJ3S
Deadpool 2,Comedy,https://youtube.com/shorts/hn9kVfeGwDk?si=MPXVGdFC48rVo0Wm
Despicable Me,Comedy; Crime,https://youtube.com/shorts/QtBT3GMbJHc?si=uaZptwf5Ek7j5pgw
Die Hard,Action,https://youtube.com/shorts/MrjavRENf4o?si=I5lE1ryToNHGZGwT
Django Unchained,Drama,https://youtube.com/shorts/LDfIBLCgpjw?si=PQiGAgm6FFoLTL6y
Doctor Strange,Action; Fantasy,https://youtube.com/shorts/PNNt72xs4Yw?si=kBOtulEIs9RWzX0J
Doctor Strange in the Multiverse of Madness,Horror,https://youtube.com/shorts/HCGq7RFHzBc?si=HFJLZL9DkqT0vOyt
Don't Look Up,Comedy,https://youtube.com/shorts/uL8uq97mHQk?si=C9iYFEEbBGCQREez
Dune: Part One,Action; Adventure,https://youtube.com/shorts/n7f1YkYRxdo?si=gRM0FZj9A6-F60Inㅍ
Eternal Sunshine of the Spotless Mind,Drama,https://youtube.com/shorts/DXvmwBjZieA?si=YIwx-y7gRPae9NsP
Fargo,Crime,https://youtube.com/shorts/CVCkHpM4Uw8?si=qYXYt98MpxryfiRQ
Fight Club,Crime; Drama,https://youtube.com/shorts/O6y-fKFoQR0?si=L158r3j_pNTXSzyc
Finding Nemo,Adventure; Comedy,https://youtube.com/shorts/MmiOkMoxdiA?si=fX0CAKi_mY1q_ZCf
Forrest Gump,Drama,https://youtube.com/shorts/MaO7c6pgqRs?si=VUTOBkqATTBP16Bw
From Dusk Till Dawn,Horror,https://youtube.com/shorts/DFPpOwUnmog?si=iLjv9EyaZxykBSw7
Frozen,Comedy; Fantasy,https://youtube.com/shorts/zVNv8mY5CbI?si=NQBX7AapqnFM0Yy3
Get Out,Horror,https://youtube.com/shorts/RhYfNBEuChg?si=HvTQbwuTr2_muhCr
Gladiator,Action; Adventure; Drama,https://youtube.com/shorts/ahfil76Kc-o?si=bpucIGsFU7nS2VPk
Gone Girl,Drama,https://youtube.com/shorts/U0DJTSCSqVg?si=LVY3rTsGJjHoFHhd
Good Will Hunting,Drama,https://youtube.com/shorts/I8p6qm_AbHs?si=ZAtqFrNkc9w8DIhq
Goodfellas,Crime; Drama,https://youtube.com/shorts/P7ESTwnILr8?si=DWOh4Wv40W0P3Rkk
Green Book,Comedy,https://youtube.com/shorts/wIjA3SJCasI?si=vI1Kj8b5XZGOWz8E
Groundhog Day,Comedy; Fantasy,https://youtube.com/shorts/6xh3WxvYvMY?si=_rd6KHT0y0NWaRxs
Guardians of the Galaxy,Action; Adventure; Comedy,https://youtube.com/shorts/fglnJ8JkwzU?si=RjRHuxODyn_8DhMZ
Guardians of the Galaxy Vol. 2,Comedy,https://youtube.com/shorts/rBCQZ5QAOHM?si=UoQFXl5elAFSDlXn
Halloween,Horror,https://youtube.com/shorts/cADP0NVLNKo?si=CeAEqxmCrwy8ORZJ
Harry Potter and the Chamber of Secrets,Fantasy,https://youtube.com/shorts/wE0K20uHGHE?si=urjASKEImPW2YH_N
Harry Potter and the Deathly Hallows: Part 1,Fantasy,https://youtube.com/shorts/oJjJOIHt0xk?si=Tb5FRWt0Xbz5IIog
Harry Potter and the Deathly Hallows: Part 2,Adventure; Fantasy,https://youtube.com/shorts/Gbw2m7WbemQ?si=hLIuIHhTm_-zrxXL
Harry Potter and the Goblet of Fire,Fantasy,https://youtube.com/shorts/fmSBgVs2gaE?si=m1416DZs3pYC-B5m
Harry Potter and the Half-Blood Prince,Fantasy,https://youtube.com/shorts/Pl0doiUQye8?si=pZqWAOAD5QviuYBg
Harry Potter and the Order of the Phoenix,Fantasy,https://youtube.com/shorts/x5HfUMF6Vy8?si=LhTGLeXrCXC8JYXa
Harry Potter and the Prisoner of Azkaban,Fantasy,https://youtube.com/shorts/yAkEmGZi4KI?si=T5jr7F5YPZXiwDrS
Harry Potter and the Sorcerer's Stone,Adventure; Fantasy,https://youtube.com/shorts/aN3kGuG0X5w?si=Cq6jB4Ozh-VsQRt7
