content_id,answer,annotator_id,session_id,time_spent,timestamp,model_id,input_type
gpt-4.1_video_youtube_rate_1,['None'],tester2,session_1760589230559,14,2025-10-16T04:34:04.799986,gpt-4.1,video
gpt-4.1_video_youtube_rate_2,['None'],tester2,session_1760589230559,4,2025-10-16T04:34:08.430917,gpt-4.1,video
gpt-4.1_video_youtube_rate_3,['None'],tester2,session_1760589230559,2,2025-10-16T04:34:10.610536,gpt-4.1,video
gpt-4.1_video_youtube_rate_4,['None'],tester2,session_1760589230559,2,2025-10-16T04:34:12.500592,gpt-4.1,video
gpt-4.1_video_youtube_rate_5,['None'],tester2,session_1760589230559,2,2025-10-16T04:34:14.431901,gpt-4.1,video
gpt-4.1_video_youtube_rate_6,['None'],tester2,session_1760589230559,2,2025-10-16T04:34:16.368371,gpt-4.1,video
gpt-4.1_video_youtube_rate_7,['None'],tester2,session_1760589230559,2,2025-10-16T04:34:18.375867,gpt-4.1,video
gpt-4.1_video_youtube_rate_8,['None'],tester2,session_1760589230559,2,2025-10-16T04:34:20.493416,gpt-4.1,video
gpt-4.1_video_youtube_rate_9,['None'],tester2,session_1760589230559,2,2025-10-16T04:34:22.260321,gpt-4.1,video
gpt-4.1_video_youtube_rate_10,['None'],tester2,session_1760589230559,2,2025-10-16T04:34:23.924893,gpt-4.1,video
gpt-4.1_video_youtube_rate_11,['None'],tester2,session_1760589230559,2,2025-10-16T04:34:25.524583,gpt-4.1,video
gpt-4.1_video_youtube_rate_12,['None'],tester2,session_1760589230559,2,2025-10-16T04:34:27.058584,gpt-4.1,video
gpt-4.1_video_youtube_rate_13,['None'],tester2,session_1760589230559,2,2025-10-16T04:34:28.872909,gpt-4.1,video
gpt-4.1_video_youtube_rate_14,['None'],tester2,session_1760589230559,2,2025-10-16T04:34:30.492436,gpt-4.1,video
gpt-4.1_video_youtube_rate_15,['None'],tester2,session_1760589230559,2,2025-10-16T04:34:32.196966,gpt-4.1,video
gpt-4.1_video_youtube_rate_16,['None'],tester2,session_1760589230559,2,2025-10-16T04:34:33.824975,gpt-4.1,video
